 PRIMARY DESCRIPTION,Date,Counts
ASSAULT,2020-10-19,38
BATTERY,2020-10-19,87
BURGLARY,2020-10-19,24
CONCEALED CARRY LICENSE VIOLATION,2020-10-19,1
CRIMINAL DAMAGE,2020-10-19,64
CRIMINAL SEXUAL ASSAULT,2020-10-19,5
CRIMINAL TRESPASS,2020-10-19,6
DECEPTIVE PRACTICE,2020-10-19,67
HOMICIDE,2020-10-19,1
INTERFERENCE WITH PUBLIC OFFICER,2020-10-19,3
INTIMIDATION,2020-10-19,1
MOTOR VEHICLE THEFT,2020-10-19,21
NARCOTICS,2020-10-19,15
OFFENSE INVOLVING CHILDREN,2020-10-19,2
OTHER OFFENSE,2020-10-19,32
PUBLIC PEACE VIOLATION,2020-10-19,2
ROBBERY,2020-10-19,27
SEX OFFENSE,2020-10-19,3
THEFT,2020-10-19,109
WEAPONS VIOLATION,2020-10-19,10
ASSAULT,2020-10-20,45
BATTERY,2020-10-20,85
BURGLARY,2020-10-20,18
CRIMINAL DAMAGE,2020-10-20,42
CRIMINAL SEXUAL ASSAULT,2020-10-20,3
CRIMINAL TRESPASS,2020-10-20,8
DECEPTIVE PRACTICE,2020-10-20,87
INTERFERENCE WITH PUBLIC OFFICER,2020-10-20,1
INTIMIDATION,2020-10-20,1
MOTOR VEHICLE THEFT,2020-10-20,31
NARCOTICS,2020-10-20,20
OFFENSE INVOLVING CHILDREN,2020-10-20,3
OTHER OFFENSE,2020-10-20,39
PUBLIC PEACE VIOLATION,2020-10-20,2
ROBBERY,2020-10-20,25
SEX OFFENSE,2020-10-20,5
THEFT,2020-10-20,100
WEAPONS VIOLATION,2020-10-20,22
ARSON,2020-10-21,4
ASSAULT,2020-10-21,53
BATTERY,2020-10-21,91
BURGLARY,2020-10-21,18
CRIMINAL DAMAGE,2020-10-21,60
CRIMINAL TRESPASS,2020-10-21,8
DECEPTIVE PRACTICE,2020-10-21,67
HOMICIDE,2020-10-21,1
INTERFERENCE WITH PUBLIC OFFICER,2020-10-21,2
INTIMIDATION,2020-10-21,2
LIQUOR LAW VIOLATION,2020-10-21,1
MOTOR VEHICLE THEFT,2020-10-21,39
NARCOTICS,2020-10-21,26
OFFENSE INVOLVING CHILDREN,2020-10-21,1
OTHER OFFENSE,2020-10-21,37
PUBLIC PEACE VIOLATION,2020-10-21,3
ROBBERY,2020-10-21,24
SEX OFFENSE,2020-10-21,1
STALKING,2020-10-21,1
THEFT,2020-10-21,103
WEAPONS VIOLATION,2020-10-21,27
ARSON,2020-10-22,2
ASSAULT,2020-10-22,53
BATTERY,2020-10-22,117
BURGLARY,2020-10-22,20
CONCEALED CARRY LICENSE VIOLATION,2020-10-22,1
CRIMINAL DAMAGE,2020-10-22,53
CRIMINAL SEXUAL ASSAULT,2020-10-22,1
CRIMINAL TRESPASS,2020-10-22,9
DECEPTIVE PRACTICE,2020-10-22,75
HOMICIDE,2020-10-22,2
INTERFERENCE WITH PUBLIC OFFICER,2020-10-22,1
INTIMIDATION,2020-10-22,1
MOTOR VEHICLE THEFT,2020-10-22,26
NARCOTICS,2020-10-22,20
OFFENSE INVOLVING CHILDREN,2020-10-22,3
OTHER OFFENSE,2020-10-22,40
PUBLIC PEACE VIOLATION,2020-10-22,3
ROBBERY,2020-10-22,25
SEX OFFENSE,2020-10-22,1
STALKING,2020-10-22,1
THEFT,2020-10-22,115
WEAPONS VIOLATION,2020-10-22,26
ASSAULT,2020-10-23,40
BATTERY,2020-10-23,95
BURGLARY,2020-10-23,20
CRIMINAL DAMAGE,2020-10-23,71
CRIMINAL SEXUAL ASSAULT,2020-10-23,6
CRIMINAL TRESPASS,2020-10-23,10
DECEPTIVE PRACTICE,2020-10-23,65
INTERFERENCE WITH PUBLIC OFFICER,2020-10-23,2
INTIMIDATION,2020-10-23,1
MOTOR VEHICLE THEFT,2020-10-23,32
NARCOTICS,2020-10-23,23
OFFENSE INVOLVING CHILDREN,2020-10-23,3
OTHER OFFENSE,2020-10-23,40
PUBLIC PEACE VIOLATION,2020-10-23,5
ROBBERY,2020-10-23,26
SEX OFFENSE,2020-10-23,1
THEFT,2020-10-23,111
WEAPONS VIOLATION,2020-10-23,24
ARSON,2020-10-24,1
ASSAULT,2020-10-24,48
BATTERY,2020-10-24,120
BURGLARY,2020-10-24,27
CRIMINAL DAMAGE,2020-10-24,73
CRIMINAL SEXUAL ASSAULT,2020-10-24,4
CRIMINAL TRESPASS,2020-10-24,11
DECEPTIVE PRACTICE,2020-10-24,33
HOMICIDE,2020-10-24,4
INTERFERENCE WITH PUBLIC OFFICER,2020-10-24,2
MOTOR VEHICLE THEFT,2020-10-24,25
NARCOTICS,2020-10-24,14
OBSCENITY,2020-10-24,1
OFFENSE INVOLVING CHILDREN,2020-10-24,4
OTHER OFFENSE,2020-10-24,28
PUBLIC PEACE VIOLATION,2020-10-24,2
ROBBERY,2020-10-24,24
SEX OFFENSE,2020-10-24,3
STALKING,2020-10-24,2
THEFT,2020-10-24,90
WEAPONS VIOLATION,2020-10-24,32
ARSON,2020-10-25,4
ASSAULT,2020-10-25,56
BATTERY,2020-10-25,123
BURGLARY,2020-10-25,17
CRIMINAL DAMAGE,2020-10-25,75
CRIMINAL SEXUAL ASSAULT,2020-10-25,1
CRIMINAL TRESPASS,2020-10-25,15
DECEPTIVE PRACTICE,2020-10-25,96
GAMBLING,2020-10-25,1
HOMICIDE,2020-10-25,2
INTERFERENCE WITH PUBLIC OFFICER,2020-10-25,2
KIDNAPPING,2020-10-25,2
MOTOR VEHICLE THEFT,2020-10-25,30
NARCOTICS,2020-10-25,17
OFFENSE INVOLVING CHILDREN,2020-10-25,6
OTHER OFFENSE,2020-10-25,31
PROSTITUTION,2020-10-25,1
PUBLIC PEACE VIOLATION,2020-10-25,3
ROBBERY,2020-10-25,23
SEX OFFENSE,2020-10-25,3
STALKING,2020-10-25,4
THEFT,2020-10-25,95
WEAPONS VIOLATION,2020-10-25,33
ASSAULT,2020-10-26,47
BATTERY,2020-10-26,102
BURGLARY,2020-10-26,17
CONCEALED CARRY LICENSE VIOLATION,2020-10-26,1
CRIMINAL DAMAGE,2020-10-26,55
CRIMINAL SEXUAL ASSAULT,2020-10-26,3
CRIMINAL TRESPASS,2020-10-26,8
DECEPTIVE PRACTICE,2020-10-26,78
INTERFERENCE WITH PUBLIC OFFICER,2020-10-26,2
INTIMIDATION,2020-10-26,1
MOTOR VEHICLE THEFT,2020-10-26,31
NARCOTICS,2020-10-26,18
OFFENSE INVOLVING CHILDREN,2020-10-26,5
OTHER OFFENSE,2020-10-26,30
PUBLIC PEACE VIOLATION,2020-10-26,2
ROBBERY,2020-10-26,24
SEX OFFENSE,2020-10-26,2
THEFT,2020-10-26,93
WEAPONS VIOLATION,2020-10-26,23
ARSON,2020-10-27,3
ASSAULT,2020-10-27,37
BATTERY,2020-10-27,78
BURGLARY,2020-10-27,17
CRIMINAL DAMAGE,2020-10-27,65
CRIMINAL SEXUAL ASSAULT,2020-10-27,2
CRIMINAL TRESPASS,2020-10-27,6
DECEPTIVE PRACTICE,2020-10-27,68
HOMICIDE,2020-10-27,1
INTERFERENCE WITH PUBLIC OFFICER,2020-10-27,1
MOTOR VEHICLE THEFT,2020-10-27,28
NARCOTICS,2020-10-27,17
OBSCENITY,2020-10-27,1
OFFENSE INVOLVING CHILDREN,2020-10-27,5
OTHER OFFENSE,2020-10-27,30
PUBLIC PEACE VIOLATION,2020-10-27,1
ROBBERY,2020-10-27,20
SEX OFFENSE,2020-10-27,3
THEFT,2020-10-27,99
WEAPONS VIOLATION,2020-10-27,26
ASSAULT,2020-10-28,35
BATTERY,2020-10-28,85
BURGLARY,2020-10-28,26
CONCEALED CARRY LICENSE VIOLATION,2020-10-28,1
CRIMINAL DAMAGE,2020-10-28,59
CRIMINAL SEXUAL ASSAULT,2020-10-28,1
CRIMINAL TRESPASS,2020-10-28,15
DECEPTIVE PRACTICE,2020-10-28,73
HOMICIDE,2020-10-28,2
INTERFERENCE WITH PUBLIC OFFICER,2020-10-28,1
KIDNAPPING,2020-10-28,2
MOTOR VEHICLE THEFT,2020-10-28,31
NARCOTICS,2020-10-28,26
OBSCENITY,2020-10-28,1
OFFENSE INVOLVING CHILDREN,2020-10-28,5
OTHER OFFENSE,2020-10-28,22
PUBLIC PEACE VIOLATION,2020-10-28,1
ROBBERY,2020-10-28,25
SEX OFFENSE,2020-10-28,1
STALKING,2020-10-28,1
THEFT,2020-10-28,101
WEAPONS VIOLATION,2020-10-28,24
ARSON,2020-10-29,6
ASSAULT,2020-10-29,42
BATTERY,2020-10-29,100
BURGLARY,2020-10-29,15
CRIMINAL DAMAGE,2020-10-29,67
CRIMINAL SEXUAL ASSAULT,2020-10-29,5
CRIMINAL TRESPASS,2020-10-29,13
DECEPTIVE PRACTICE,2020-10-29,84
HOMICIDE,2020-10-29,4
INTERFERENCE WITH PUBLIC OFFICER,2020-10-29,3
INTIMIDATION,2020-10-29,1
MOTOR VEHICLE THEFT,2020-10-29,32
NARCOTICS,2020-10-29,20
OFFENSE INVOLVING CHILDREN,2020-10-29,3
OTHER OFFENSE,2020-10-29,39
PUBLIC INDECENCY,2020-10-29,1
PUBLIC PEACE VIOLATION,2020-10-29,2
ROBBERY,2020-10-29,30
SEX OFFENSE,2020-10-29,3
STALKING,2020-10-29,1
THEFT,2020-10-29,85
WEAPONS VIOLATION,2020-10-29,23
ARSON,2020-10-30,2
ASSAULT,2020-10-30,45
BATTERY,2020-10-30,112
BURGLARY,2020-10-30,26
CRIMINAL DAMAGE,2020-10-30,62
CRIMINAL SEXUAL ASSAULT,2020-10-30,2
CRIMINAL TRESPASS,2020-10-30,17
DECEPTIVE PRACTICE,2020-10-30,73
HOMICIDE,2020-10-30,1
LIQUOR LAW VIOLATION,2020-10-30,1
MOTOR VEHICLE THEFT,2020-10-30,36
NARCOTICS,2020-10-30,18
OBSCENITY,2020-10-30,1
OFFENSE INVOLVING CHILDREN,2020-10-30,10
OTHER OFFENSE,2020-10-30,24
PUBLIC PEACE VIOLATION,2020-10-30,2
ROBBERY,2020-10-30,28
SEX OFFENSE,2020-10-30,2
STALKING,2020-10-30,1
THEFT,2020-10-30,113
WEAPONS VIOLATION,2020-10-30,35
ARSON,2020-10-31,2
ASSAULT,2020-10-31,54
BATTERY,2020-10-31,136
BURGLARY,2020-10-31,19
CONCEALED CARRY LICENSE VIOLATION,2020-10-31,2
CRIMINAL DAMAGE,2020-10-31,80
CRIMINAL SEXUAL ASSAULT,2020-10-31,3
CRIMINAL TRESPASS,2020-10-31,9
DECEPTIVE PRACTICE,2020-10-31,52
HOMICIDE,2020-10-31,4
INTERFERENCE WITH PUBLIC OFFICER,2020-10-31,1
MOTOR VEHICLE THEFT,2020-10-31,36
NARCOTICS,2020-10-31,12
OBSCENITY,2020-10-31,1
OFFENSE INVOLVING CHILDREN,2020-10-31,4
OTHER OFFENSE,2020-10-31,32
PUBLIC PEACE VIOLATION,2020-10-31,2
ROBBERY,2020-10-31,27
SEX OFFENSE,2020-10-31,2
STALKING,2020-10-31,1
THEFT,2020-10-31,107
WEAPONS VIOLATION,2020-10-31,31
ARSON,2020-11-01,3
ASSAULT,2020-11-01,52
BATTERY,2020-11-01,136
BURGLARY,2020-11-01,20
CRIMINAL DAMAGE,2020-11-01,79
CRIMINAL SEXUAL ASSAULT,2020-11-01,7
CRIMINAL TRESPASS,2020-11-01,10
DECEPTIVE PRACTICE,2020-11-01,73
INTERFERENCE WITH PUBLIC OFFICER,2020-11-01,2
MOTOR VEHICLE THEFT,2020-11-01,33
NARCOTICS,2020-11-01,13
OFFENSE INVOLVING CHILDREN,2020-11-01,3
OTHER OFFENSE,2020-11-01,34
PUBLIC PEACE VIOLATION,2020-11-01,1
ROBBERY,2020-11-01,28
SEX OFFENSE,2020-11-01,2
STALKING,2020-11-01,1
THEFT,2020-11-01,98
WEAPONS VIOLATION,2020-11-01,31
ASSAULT,2020-11-02,44
BATTERY,2020-11-02,87
BURGLARY,2020-11-02,31
CONCEALED CARRY LICENSE VIOLATION,2020-11-02,2
CRIMINAL DAMAGE,2020-11-02,57
CRIMINAL SEXUAL ASSAULT,2020-11-02,2
CRIMINAL TRESPASS,2020-11-02,11
DECEPTIVE PRACTICE,2020-11-02,114
GAMBLING,2020-11-02,1
HOMICIDE,2020-11-02,1
INTERFERENCE WITH PUBLIC OFFICER,2020-11-02,1
INTIMIDATION,2020-11-02,1
KIDNAPPING,2020-11-02,1
MOTOR VEHICLE THEFT,2020-11-02,38
NARCOTICS,2020-11-02,15
OBSCENITY,2020-11-02,1
OFFENSE INVOLVING CHILDREN,2020-11-02,6
OTHER OFFENSE,2020-11-02,35
PUBLIC PEACE VIOLATION,2020-11-02,1
ROBBERY,2020-11-02,28
SEX OFFENSE,2020-11-02,1
STALKING,2020-11-02,1
THEFT,2020-11-02,86
WEAPONS VIOLATION,2020-11-02,22
ARSON,2020-11-03,2
ASSAULT,2020-11-03,51
BATTERY,2020-11-03,103
BURGLARY,2020-11-03,22
CONCEALED CARRY LICENSE VIOLATION,2020-11-03,2
CRIMINAL DAMAGE,2020-11-03,72
CRIMINAL SEXUAL ASSAULT,2020-11-03,1
CRIMINAL TRESPASS,2020-11-03,17
DECEPTIVE PRACTICE,2020-11-03,88
HOMICIDE,2020-11-03,2
INTERFERENCE WITH PUBLIC OFFICER,2020-11-03,3
MOTOR VEHICLE THEFT,2020-11-03,33
NARCOTICS,2020-11-03,13
OFFENSE INVOLVING CHILDREN,2020-11-03,2
OTHER OFFENSE,2020-11-03,35
PUBLIC PEACE VIOLATION,2020-11-03,5
ROBBERY,2020-11-03,29
SEX OFFENSE,2020-11-03,5
THEFT,2020-11-03,99
WEAPONS VIOLATION,2020-11-03,23
ARSON,2020-11-04,1
ASSAULT,2020-11-04,48
BATTERY,2020-11-04,120
BURGLARY,2020-11-04,21
CONCEALED CARRY LICENSE VIOLATION,2020-11-04,1
CRIMINAL DAMAGE,2020-11-04,67
CRIMINAL SEXUAL ASSAULT,2020-11-04,3
CRIMINAL TRESPASS,2020-11-04,15
DECEPTIVE PRACTICE,2020-11-04,109
GAMBLING,2020-11-04,1
HOMICIDE,2020-11-04,3
INTERFERENCE WITH PUBLIC OFFICER,2020-11-04,1
MOTOR VEHICLE THEFT,2020-11-04,32
NARCOTICS,2020-11-04,14
OFFENSE INVOLVING CHILDREN,2020-11-04,4
OTHER OFFENSE,2020-11-04,25
PUBLIC PEACE VIOLATION,2020-11-04,2
ROBBERY,2020-11-04,32
SEX OFFENSE,2020-11-04,3
STALKING,2020-11-04,2
THEFT,2020-11-04,110
WEAPONS VIOLATION,2020-11-04,33
ARSON,2020-11-05,1
ASSAULT,2020-11-05,54
BATTERY,2020-11-05,110
BURGLARY,2020-11-05,19
CRIMINAL DAMAGE,2020-11-05,68
CRIMINAL SEXUAL ASSAULT,2020-11-05,1
CRIMINAL TRESPASS,2020-11-05,11
DECEPTIVE PRACTICE,2020-11-05,99
HOMICIDE,2020-11-05,4
KIDNAPPING,2020-11-05,1
MOTOR VEHICLE THEFT,2020-11-05,35
NARCOTICS,2020-11-05,21
OFFENSE INVOLVING CHILDREN,2020-11-05,6
OTHER OFFENSE,2020-11-05,35
ROBBERY,2020-11-05,26
SEX OFFENSE,2020-11-05,2
STALKING,2020-11-05,1
THEFT,2020-11-05,109
WEAPONS VIOLATION,2020-11-05,35
ARSON,2020-11-06,1
ASSAULT,2020-11-06,56
BATTERY,2020-11-06,117
BURGLARY,2020-11-06,26
CRIMINAL DAMAGE,2020-11-06,71
CRIMINAL SEXUAL ASSAULT,2020-11-06,1
CRIMINAL TRESPASS,2020-11-06,7
DECEPTIVE PRACTICE,2020-11-06,80
HOMICIDE,2020-11-06,3
INTERFERENCE WITH PUBLIC OFFICER,2020-11-06,3
MOTOR VEHICLE THEFT,2020-11-06,36
NARCOTICS,2020-11-06,22
OFFENSE INVOLVING CHILDREN,2020-11-06,4
OTHER OFFENSE,2020-11-06,35
PUBLIC PEACE VIOLATION,2020-11-06,2
ROBBERY,2020-11-06,30
SEX OFFENSE,2020-11-06,2
THEFT,2020-11-06,124
WEAPONS VIOLATION,2020-11-06,32
ASSAULT,2020-11-07,43
BATTERY,2020-11-07,145
BURGLARY,2020-11-07,28
CRIMINAL DAMAGE,2020-11-07,71
CRIMINAL SEXUAL ASSAULT,2020-11-07,3
CRIMINAL TRESPASS,2020-11-07,11
DECEPTIVE PRACTICE,2020-11-07,59
HOMICIDE,2020-11-07,4
INTERFERENCE WITH PUBLIC OFFICER,2020-11-07,2
LIQUOR LAW VIOLATION,2020-11-07,1
MOTOR VEHICLE THEFT,2020-11-07,26
NARCOTICS,2020-11-07,23
OFFENSE INVOLVING CHILDREN,2020-11-07,4
OTHER OFFENSE,2020-11-07,30
PUBLIC PEACE VIOLATION,2020-11-07,2
ROBBERY,2020-11-07,16
SEX OFFENSE,2020-11-07,2
THEFT,2020-11-07,107
WEAPONS VIOLATION,2020-11-07,40
ARSON,2020-11-08,1
ASSAULT,2020-11-08,50
BATTERY,2020-11-08,147
BURGLARY,2020-11-08,26
CONCEALED CARRY LICENSE VIOLATION,2020-11-08,2
CRIMINAL DAMAGE,2020-11-08,65
CRIMINAL SEXUAL ASSAULT,2020-11-08,4
CRIMINAL TRESPASS,2020-11-08,9
DECEPTIVE PRACTICE,2020-11-08,36
HOMICIDE,2020-11-08,3
INTERFERENCE WITH PUBLIC OFFICER,2020-11-08,1
INTIMIDATION,2020-11-08,1
MOTOR VEHICLE THEFT,2020-11-08,27
NARCOTICS,2020-11-08,23
OFFENSE INVOLVING CHILDREN,2020-11-08,7
OTHER OFFENSE,2020-11-08,36
PUBLIC PEACE VIOLATION,2020-11-08,2
ROBBERY,2020-11-08,22
THEFT,2020-11-08,81
WEAPONS VIOLATION,2020-11-08,47
ARSON,2020-11-09,5
ASSAULT,2020-11-09,51
BATTERY,2020-11-09,112
BURGLARY,2020-11-09,29
CRIMINAL DAMAGE,2020-11-09,64
CRIMINAL SEXUAL ASSAULT,2020-11-09,2
CRIMINAL TRESPASS,2020-11-09,11
DECEPTIVE PRACTICE,2020-11-09,80
HOMICIDE,2020-11-09,5
INTERFERENCE WITH PUBLIC OFFICER,2020-11-09,1
MOTOR VEHICLE THEFT,2020-11-09,24
NARCOTICS,2020-11-09,18
OFFENSE INVOLVING CHILDREN,2020-11-09,2
OTHER OFFENSE,2020-11-09,43
PUBLIC PEACE VIOLATION,2020-11-09,2
ROBBERY,2020-11-09,28
SEX OFFENSE,2020-11-09,2
STALKING,2020-11-09,1
THEFT,2020-11-09,104
WEAPONS VIOLATION,2020-11-09,30
ARSON,2020-11-10,2
ASSAULT,2020-11-10,43
BATTERY,2020-11-10,99
BURGLARY,2020-11-10,17
CONCEALED CARRY LICENSE VIOLATION,2020-11-10,1
CRIMINAL DAMAGE,2020-11-10,59
CRIMINAL SEXUAL ASSAULT,2020-11-10,2
CRIMINAL TRESPASS,2020-11-10,9
DECEPTIVE PRACTICE,2020-11-10,89
HOMICIDE,2020-11-10,1
INTIMIDATION,2020-11-10,1
MOTOR VEHICLE THEFT,2020-11-10,37
NARCOTICS,2020-11-10,16
OFFENSE INVOLVING CHILDREN,2020-11-10,1
OTHER OFFENSE,2020-11-10,34
PUBLIC PEACE VIOLATION,2020-11-10,3
ROBBERY,2020-11-10,30
SEX OFFENSE,2020-11-10,5
STALKING,2020-11-10,1
THEFT,2020-11-10,116
WEAPONS VIOLATION,2020-11-10,21
ARSON,2020-11-11,1
ASSAULT,2020-11-11,47
BATTERY,2020-11-11,84
BURGLARY,2020-11-11,21
CRIMINAL DAMAGE,2020-11-11,51
CRIMINAL SEXUAL ASSAULT,2020-11-11,1
CRIMINAL TRESPASS,2020-11-11,8
DECEPTIVE PRACTICE,2020-11-11,47
HOMICIDE,2020-11-11,2
INTERFERENCE WITH PUBLIC OFFICER,2020-11-11,1
MOTOR VEHICLE THEFT,2020-11-11,26
NARCOTICS,2020-11-11,15
OFFENSE INVOLVING CHILDREN,2020-11-11,4
OTHER OFFENSE,2020-11-11,36
PUBLIC PEACE VIOLATION,2020-11-11,2
ROBBERY,2020-11-11,15
SEX OFFENSE,2020-11-11,4
STALKING,2020-11-11,1
THEFT,2020-11-11,89
WEAPONS VIOLATION,2020-11-11,23
ARSON,2020-11-12,2
ASSAULT,2020-11-12,43
BATTERY,2020-11-12,91
BURGLARY,2020-11-12,23
CONCEALED CARRY LICENSE VIOLATION,2020-11-12,1
CRIMINAL DAMAGE,2020-11-12,58
CRIMINAL SEXUAL ASSAULT,2020-11-12,1
CRIMINAL TRESPASS,2020-11-12,8
DECEPTIVE PRACTICE,2020-11-12,63
HOMICIDE,2020-11-12,3
MOTOR VEHICLE THEFT,2020-11-12,28
NARCOTICS,2020-11-12,17
OFFENSE INVOLVING CHILDREN,2020-11-12,8
OTHER OFFENSE,2020-11-12,37
PUBLIC PEACE VIOLATION,2020-11-12,1
ROBBERY,2020-11-12,27
SEX OFFENSE,2020-11-12,1
THEFT,2020-11-12,89
WEAPONS VIOLATION,2020-11-12,8
ARSON,2020-11-13,3
ASSAULT,2020-11-13,34
BATTERY,2020-11-13,80
BURGLARY,2020-11-13,23
CRIMINAL DAMAGE,2020-11-13,66
CRIMINAL SEXUAL ASSAULT,2020-11-13,5
CRIMINAL TRESPASS,2020-11-13,9
DECEPTIVE PRACTICE,2020-11-13,71
HOMICIDE,2020-11-13,2
INTERFERENCE WITH PUBLIC OFFICER,2020-11-13,2
INTIMIDATION,2020-11-13,2
KIDNAPPING,2020-11-13,1
LIQUOR LAW VIOLATION,2020-11-13,1
MOTOR VEHICLE THEFT,2020-11-13,25
NARCOTICS,2020-11-13,16
OFFENSE INVOLVING CHILDREN,2020-11-13,5
OTHER OFFENSE,2020-11-13,32
PROSTITUTION,2020-11-13,1
PUBLIC PEACE VIOLATION,2020-11-13,2
ROBBERY,2020-11-13,15
SEX OFFENSE,2020-11-13,1
THEFT,2020-11-13,112
WEAPONS VIOLATION,2020-11-13,15
ASSAULT,2020-11-14,46
BATTERY,2020-11-14,97
BURGLARY,2020-11-14,15
CRIMINAL DAMAGE,2020-11-14,59
CRIMINAL SEXUAL ASSAULT,2020-11-14,1
CRIMINAL TRESPASS,2020-11-14,5
DECEPTIVE PRACTICE,2020-11-14,31
HOMICIDE,2020-11-14,2
MOTOR VEHICLE THEFT,2020-11-14,33
NARCOTICS,2020-11-14,16
OFFENSE INVOLVING CHILDREN,2020-11-14,6
OTHER OFFENSE,2020-11-14,28
PUBLIC PEACE VIOLATION,2020-11-14,1
ROBBERY,2020-11-14,18
SEX OFFENSE,2020-11-14,1
STALKING,2020-11-14,1
THEFT,2020-11-14,85
WEAPONS VIOLATION,2020-11-14,18
ARSON,2020-11-15,3
ASSAULT,2020-11-15,44
BATTERY,2020-11-15,111
BURGLARY,2020-11-15,16
CRIMINAL DAMAGE,2020-11-15,71
CRIMINAL SEXUAL ASSAULT,2020-11-15,3
CRIMINAL TRESPASS,2020-11-15,12
DECEPTIVE PRACTICE,2020-11-15,40
INTERFERENCE WITH PUBLIC OFFICER,2020-11-15,1
MOTOR VEHICLE THEFT,2020-11-15,25
NARCOTICS,2020-11-15,13
OFFENSE INVOLVING CHILDREN,2020-11-15,4
OTHER OFFENSE,2020-11-15,27
PUBLIC PEACE VIOLATION,2020-11-15,2
ROBBERY,2020-11-15,18
SEX OFFENSE,2020-11-15,1
THEFT,2020-11-15,93
WEAPONS VIOLATION,2020-11-15,22
ARSON,2020-11-16,1
ASSAULT,2020-11-16,39
BATTERY,2020-11-16,92
BURGLARY,2020-11-16,24
CONCEALED CARRY LICENSE VIOLATION,2020-11-16,1
CRIMINAL DAMAGE,2020-11-16,53
CRIMINAL SEXUAL ASSAULT,2020-11-16,3
CRIMINAL TRESPASS,2020-11-16,4
DECEPTIVE PRACTICE,2020-11-16,58
HOMICIDE,2020-11-16,1
INTERFERENCE WITH PUBLIC OFFICER,2020-11-16,1
MOTOR VEHICLE THEFT,2020-11-16,48
NARCOTICS,2020-11-16,16
OFFENSE INVOLVING CHILDREN,2020-11-16,3
OTHER OFFENSE,2020-11-16,32
PUBLIC PEACE VIOLATION,2020-11-16,1
ROBBERY,2020-11-16,15
SEX OFFENSE,2020-11-16,1
THEFT,2020-11-16,85
WEAPONS VIOLATION,2020-11-16,24
ASSAULT,2020-11-17,54
BATTERY,2020-11-17,75
BURGLARY,2020-11-17,15
CRIMINAL DAMAGE,2020-11-17,45
CRIMINAL TRESPASS,2020-11-17,5
DECEPTIVE PRACTICE,2020-11-17,57
INTERFERENCE WITH PUBLIC OFFICER,2020-11-17,1
INTIMIDATION,2020-11-17,1
KIDNAPPING,2020-11-17,2
MOTOR VEHICLE THEFT,2020-11-17,25
NARCOTICS,2020-11-17,26
OFFENSE INVOLVING CHILDREN,2020-11-17,5
OTHER OFFENSE,2020-11-17,33
RITUALISM,2020-11-17,1
ROBBERY,2020-11-17,20
SEX OFFENSE,2020-11-17,1
STALKING,2020-11-17,1
THEFT,2020-11-17,104
WEAPONS VIOLATION,2020-11-17,17
ARSON,2020-11-18,1
ASSAULT,2020-11-18,34
BATTERY,2020-11-18,68
BURGLARY,2020-11-18,14
CRIMINAL DAMAGE,2020-11-18,65
CRIMINAL SEXUAL ASSAULT,2020-11-18,2
CRIMINAL TRESPASS,2020-11-18,12
DECEPTIVE PRACTICE,2020-11-18,56
HOMICIDE,2020-11-18,1
MOTOR VEHICLE THEFT,2020-11-18,35
NARCOTICS,2020-11-18,15
OFFENSE INVOLVING CHILDREN,2020-11-18,3
OTHER OFFENSE,2020-11-18,22
PUBLIC PEACE VIOLATION,2020-11-18,3
ROBBERY,2020-11-18,24
SEX OFFENSE,2020-11-18,3
THEFT,2020-11-18,112
WEAPONS VIOLATION,2020-11-18,16
ARSON,2020-11-19,1
ASSAULT,2020-11-19,46
BATTERY,2020-11-19,98
BURGLARY,2020-11-19,8
CRIMINAL DAMAGE,2020-11-19,75
CRIMINAL SEXUAL ASSAULT,2020-11-19,2
CRIMINAL TRESPASS,2020-11-19,8
DECEPTIVE PRACTICE,2020-11-19,48
MOTOR VEHICLE THEFT,2020-11-19,28
NARCOTICS,2020-11-19,7
OFFENSE INVOLVING CHILDREN,2020-11-19,3
OTHER OFFENSE,2020-11-19,30
ROBBERY,2020-11-19,39
SEX OFFENSE,2020-11-19,1
THEFT,2020-11-19,102
WEAPONS VIOLATION,2020-11-19,14
ASSAULT,2020-11-20,56
BATTERY,2020-11-20,121
BURGLARY,2020-11-20,23
CRIMINAL DAMAGE,2020-11-20,63
CRIMINAL SEXUAL ASSAULT,2020-11-20,3
CRIMINAL TRESPASS,2020-11-20,7
DECEPTIVE PRACTICE,2020-11-20,74
HOMICIDE,2020-11-20,2
INTERFERENCE WITH PUBLIC OFFICER,2020-11-20,4
MOTOR VEHICLE THEFT,2020-11-20,36
NARCOTICS,2020-11-20,13
OFFENSE INVOLVING CHILDREN,2020-11-20,7
OTHER OFFENSE,2020-11-20,32
PUBLIC PEACE VIOLATION,2020-11-20,3
ROBBERY,2020-11-20,31
SEX OFFENSE,2020-11-20,1
STALKING,2020-11-20,1
THEFT,2020-11-20,125
WEAPONS VIOLATION,2020-11-20,28
ARSON,2020-11-21,1
ASSAULT,2020-11-21,44
BATTERY,2020-11-21,90
BURGLARY,2020-11-21,24
CRIMINAL DAMAGE,2020-11-21,66
CRIMINAL SEXUAL ASSAULT,2020-11-21,4
CRIMINAL TRESPASS,2020-11-21,10
DECEPTIVE PRACTICE,2020-11-21,24
GAMBLING,2020-11-21,1
HOMICIDE,2020-11-21,3
INTERFERENCE WITH PUBLIC OFFICER,2020-11-21,3
KIDNAPPING,2020-11-21,1
MOTOR VEHICLE THEFT,2020-11-21,40
