, PRIMARY DESCRIPTION,Date,Counts,Cases - Total
1700,CRIMINAL SEXUAL ASSAULT,2020-05-29,2,460
1701,CRIMINAL TRESPASS,2020-05-29,8,460
1702,DECEPTIVE PRACTICE,2020-05-29,30,460
1703,HOMICIDE,2020-05-29,5,460
1704,INTERFERENCE WITH PUBLIC OFFICER,2020-05-29,3,460
1705,INTIMIDATION,2020-05-29,1,460
1706,MOTOR VEHICLE THEFT,2020-05-29,27,460
1707,NARCOTICS,2020-05-29,15,460
1708,OFFENSE INVOLVING CHILDREN,2020-05-29,10,460
1709,OTHER OFFENSE,2020-05-29,30,460
1710,PROSTITUTION,2020-05-29,6,460
1711,PUBLIC PEACE VIOLATION,2020-05-29,7,460
1712,ROBBERY,2020-05-29,23,460
1713,THEFT,2020-05-29,96,460
1714,WEAPONS VIOLATION,2020-05-29,29,460
1715,ARSON,2020-05-30,17,239
1716,ASSAULT,2020-05-30,50,239
1717,BATTERY,2020-05-30,155,239
1718,BURGLARY,2020-05-30,216,239
1719,CRIMINAL DAMAGE,2020-05-30,182,239
1720,CRIMINAL SEXUAL ASSAULT,2020-05-30,2,239
1721,CRIMINAL TRESPASS,2020-05-30,5,239
1722,DECEPTIVE PRACTICE,2020-05-30,9,239
1723,HOMICIDE,2020-05-30,8,239
1724,INTERFERENCE WITH PUBLIC OFFICER,2020-05-30,2,239
1725,MOTOR VEHICLE THEFT,2020-05-30,37,239
1726,NARCOTICS,2020-05-30,4,239
1727,OFFENSE INVOLVING CHILDREN,2020-05-30,1,239
1728,OTHER OFFENSE,2020-05-30,26,239
1729,PUBLIC PEACE VIOLATION,2020-05-30,42,239
1730,ROBBERY,2020-05-30,32,239
1731,SEX OFFENSE,2020-05-30,2,239
1732,THEFT,2020-05-30,113,239
1733,WEAPONS VIOLATION,2020-05-30,18,239
1734,ARSON,2020-05-31,28,121
1735,ASSAULT,2020-05-31,43,121
1736,BATTERY,2020-05-31,139,121
1737,BURGLARY,2020-05-31,581,121
1738,CONCEALED CARRY LICENSE VIOLATION,2020-05-31,1,121
1739,CRIMINAL DAMAGE,2020-05-31,343,121
1740,CRIMINAL SEXUAL ASSAULT,2020-05-31,4,121
1741,CRIMINAL TRESPASS,2020-05-31,19,121
1742,DECEPTIVE PRACTICE,2020-05-31,20,121
1743,HOMICIDE,2020-05-31,18,121
1744,INTERFERENCE WITH PUBLIC OFFICER,2020-05-31,2,121
1745,MOTOR VEHICLE THEFT,2020-05-31,93,121
